0,VA**,VARI
1,*OXO******,TOXOPLASME
2,***IO*****,VARIOMETRU
3,***I*E,RODINE
4,*A****U*,SARCOMUL
5,F***E***,FILDEÂUL
6,R****Ț**,REJECȚIE
7,*ETE**E**T,NETEMPERAT
8,*U**UÂ,BURDUÂ
9,*A**A***Ă,VANDABILĂ
10,***R**L*L**,ÎNTREOLALTĂ
11,Î***A**,ÎNÂFACI
12,**A**I*A*,SCANDINAV
13,P*G,PAG
14,L*****R,LACVEAR
15,D******I*,DEZLOCUIT
16,A****GA***,ALELOGAMIE
17,****OS***,HÂRLOSTEA
18,L*M*****,LAMPIÂTI
19,*Â*L***,MÂGLISI
20,***Â*I*ÂI,PRĂÂTIAÂI
21,*****N*****I*,GALVANOSTEGIC
22,**ZA******AZ*,DEZASIMILEAZĂ
23,G**E*,GLIEI
24,*T*******T*G*****,STEREOCARTOGRAFII
25,*S**SO*,ISPISOC
26,***OA**,JETOANE
27,**N****I*N**I,CONFECȚIONĂRI
28,*Ă**Ă*O****,LĂUDĂROÂIEI
29,******IC***I,DUHOVNICEÂTI
30,I**U*I**,IMPUDICĂ
31,PA****A**,PATENTARE
32,**I**O*I*,EPIGLOTIC
33,**E*********A*E,PREÎNCĂLZITOARE
34,S*U******,SCURTIMEA
35,*F**D*****,SFERDECEII
36,**T*TAT*,MUTITATE
37,****I*O**I,VERMIFORMI
38,C*******L,CHIRURGUL
39,M*Z******,MEZOBLAST
40,**A*I*I****,STALINISTUL
41,B*B**Ă*,BOBOTĂI
42,**R*IRI,TURCIRI
43,*RA*A,FRAZA
44,*E****E*****ES,NEMATHELMINTES
45,**L***EE,FOLIACEE
46,**IC*II,ONICHII
47,*****EZ,ALARMEZ
48,*XĂ,AXĂ
49,****ICI****C*,FĂLTICINEANCĂ
50,**Â*E*E,BRÂNEȚE
51,**R*****T*R***R,SPRIJINITORILOR
52,*********T*U,RESPIROMETRU
53,*A*M***,GARMOND
54,E***O*E*,ESTROGEN
55,********A***Ă,COSMOBOTANICĂ
56,*U*****E*,BUNĂTATEA
57,**G**T**************,MAGNETOHIDRODINAMICĂ
58,**N****I****,GENERALIZARE
59,*IS*****II**,DISCOPATIILE
60,***ĂCĂ*****,ÎMPĂCĂRILOR
61,****T***AT*A**,REINTEGRATOARE
62,*NF*N*******,ÎNFUNDĂTOARE
63,***ER*R*E*RE,AMPERORMETRE
64,*I********T*,SINCERAMENTE
65,***I**C*,UÂUIASCĂ
66,*A***AC,MAZDRAC
67,****SO***,CULISOARE
68,***C**I**,MÂNCĂRIME
69,****-C*R*,INDI-CARE
70,SE*E*,SEMEN
71,*U*U*A,CUNUNA
72,*L****I,PLOTURI
73,*A*U*A**,FABULARE
74,**I*IFI*,ACIDIFIC
75,***E*I*I,OBSESIVI
76,****R*I**,ÎNGURGITA
77,*R****A*A***,CRIOPLANAȚIE
78,****R**E*****R*,CONTRASEMNĂTURI
79,**R*D**,PARODIE
80,*A*E*E,DATELE
81,*A*AP*A**,CALAPOADE
82,*LO*O***,FLOCOÂEI
83,B**A**,BINARI
84,PE******,PERDANTĂ
85,***A**I**,CENACLIST
86,**FE*E*-***,DIFEREN-ȚIA
87,Z********T*,ZEROVALENTĂ
88,****IN**I*,FULMINAȚIA
89,**I*T***I**I*T*,EXISTENȚIALISTE
90,**ĂN*Ă,IBĂNCĂ
91,*I*IGII,SIMIGII
92,ÂC****,ÂCHIOP
93,***I**R*,CAPILARĂ
94,EP******E*E,EPICRANIENE
95,******D*-*,HRĂNINDU-L
96,*****M**L**,CIRCUMSOLAR
97,A**A*AS**,AMBARASEZ
98,F*M*****,FUMIZARE
99,**O*O*O*I*,SCOTOFOBIE
100,C**I*II**,COMISIILE
101,*M**R**,EMPIRIE
102,****L**A**L**,ORFELINATULUI
103,T*****A*,TURLUBAN
104,***ITI*I*T,LEGITIMIST
105,C**C***Â,CIOCĂNAÂ
106,*I*U**I,SITUĂRI
107,MA*M*******,MAIMUȚĂRIRE
108,*H**N*,CHELNĂ
109,*G***S**,EGOTISTĂ
110,*******U*UI,PAMFLETULUI
111,Z***A***,ZOBEASCĂ
112,**ZG****,DEZGRĂDI
113,BA*B**,BARBET
114,EN**E***E,ENUMERARE
115,*E**ME******,DECIMETRULUI
116,*I******ILI****,DISCUTABILITATE
117,*SE****,ASEMĂNĂ
118,V***I*I*I,VAMPIRICI
119,P****G**,PATLAGEA
120,*O****S*O*,POLARISCOP
121,***L*A,BIBLIA
122,P**PÂ**,PLOPÂOR
123,**U**N*U,SLUJINDU
124,*A*Ă**A,MAZĂREA
125,**RB**,ÂERBEL
126,**NE***,CINEAZĂ
127,*Â*A,EÂUA
128,A*****A*Ă,ACȚIONARĂ
129,***O*N*,TASOANE
130,*******IA***,BONCĂLUIASCĂ
131,BA*****,BARTIȚE
132,C*L,CIL
133,*E***U**E,DEVOLUȚIE
134,*I********P*II,DISCROMATOPSII
135,**R*****N*,IZRAELIANĂ
136,G****E**E,GĂLĂȚENCE
137,*I**I*A*I***,FIBRILAȚIUNE
138,*A*********I**,LACTOGLOBULINĂ
139,***Z*OZ***,PLEZIOZAUR
140,A*IA**,AUIALĂ
141,Î****A*,ÎMPĂRAT
142,*N*E**E******,INTERTEXTUALĂ
143,*AI*A***I,BAILAGURI
144,*****EA*,TIPĂREAU
145,N****N*C*,NEMERNICI
146,CĂ*Ă*****,CĂMĂÂOAIE
147,*AP****,CAPRELE
148,P********L,PASIMETRUL
149,*****II*E,ORTĂCIILE
150,****DI*I,LAGODITI
151,*IÂ*II,PIÂTII
152,P****Ț*,PROBAȚI
153,***EGE*,PRAEGER
154,A*T****AT*,AUTORIZATĂ
155,**ST**T*****,GASTROTOMIEI
156,**C**C**E,ÎNCURCARE
157,***UL,FĂTUL
158,S******O******,SUPRAPRODUCȚIE
159,*I**B**,LITOBOL
160,*IA******I,DIASCOPURI
161,*Â*Â*T,VÂJÂIT
162,D*Z-**D**D*,DEZ-NĂDEJDE
163,*ÂR**Â**R*,GÂRLIÂOARĂ
164,*L**A***,OLIGANTE
165,*IS****,FISCALĂ
166,AD******,ADOPȚIEI
167,VĂ*VĂ****,VĂLVĂTAIE
168,****E*TE,OPINENTE
169,C****O*****,CATEGORISEA
170,**L****G,TÂLHUÂAG
171,*****N**E***,GRĂDINIȚELOR
