etichetă_joc,total_încercări,cuvânt_găsit,secvență_încercări
1,18,ICONOGRAFĂ,C E L O P U G T M B I D J F Ă S H N
2,14,FAGOCITUL,B J R I D Z U F E N G O T L
3,5,APICOLILOR,A I O L R
4,12,HIPOPLAZII,A B L C M E G P T I R Z
5,5,PROHODI,G P R D I
6,8,CIOPLEA,A C U O M S I E
7,11,COVÂRȘITELOR,A D Z C O Â R Ș T E L
8,19,PÂRGUIRILE,A N D R C F M Ă T L I S E Ș Z O B Â G
9,10,BURGHIERILE,A P C N I L B U G H
10,9,SAMAVOLNICII,C O P N U S A V L
11,15,CĂȘĂIEȘTE,C L U N Z H M V P R S E Â Ș I
12,4,SISALUL,N I L U
13,5,CINERARIILE,C I N E L
14,16,DEZAGLOMERĂM,C L I N P E F D T H M O S Z G Ă
15,8,TETRODĂ,A C D O L N T E
16,21,MÂNJITURII,A C D L O N B T I Ț F H M Z S Ă Î J P E Â
17,12,DESOFISTICĂRII,A R O T G N D C I Z S Ă
18,10,TĂIERI,A B U Ă N D P E Â I
19,8,GENTILEȚILOR,C G E N T Ț O R
20,14,NENOROCITUL,A O M P R T F N L E Z D Î U
21,20,ÎNAINTĂ,A G M P R E B S O U D C Ă N Z J Â L V Î
22,14,ISTMICUL,A B C E V D N M I R O G T S
23,9,ASCUȚITUNGHICUL,A S Ț I T N G H L
24,6,OBNUBILĂRILOR,B N U I L R
25,7,BUMBĂCELULUI,B U M A E L I
26,15,POSTĂVĂRIILE,B U C M Â L D P I V A O S T E
27,17,CENTROZOMUL,A B C S N T R I D M V P H U F O Z
28,14,DEBAVURASE,A B O R E T G P Ă Î V N C D
29,17,VRAMIȚE,A C U M P E H S B N R G Â L D O Ț
30,15,RETORI,A F U N P S E B Ț J O Z C Ă R
31,9,EPISTOLARELOR,C F E P S T O A R
32,9,ÎNCHIABUREAȚI,Î N C I A U R E Ț
33,8,LAMINATOAREA,A B M I N T O R
34,14,PLATINEZ,A B S C G M R P L U I N O T
35,16,ȚĂNDĂRELEI,A B N E O Ă U G H M I C L S P Ț
36,21,TEVATURI,B C D F G V Ă M N T O Z E I H L P S J Î U
37,6,FIDANȚATA,A I N G Ț T
38,13,EXONDĂRILE,B C D I F M N T X A O R Ă
39,9,DECOMANDATĂ,C L O I D E N T Ă
40,10,OMAGIALI,A E F I Z C O R U G
41,13,STÂLPISEM,A C G R S T U D I Z Â L M
42,4,ELFILOR,F I O R
43,7,DECONCERTANTELE,D E O N R T L
44,16,GAGICULUI,A C T B O D F J M N P R V Â L G
45,16,APELARĂM,C U D Ț G E T N I P J Â Ă B R M
46,10,SPERMATOFITELOR,B S P E R M A T I L
47,8,NECREDINCIOȘILOR,H N E C D I Ș L
48,13,CINSTEȚUL,A C O J U Ă N E L R M I Ț
49,10,NEOFORMAȚIUNII,G E M F L N A Ț I U
50,8,PEGMATITUL,A I N E M T U L
51,13,PLUTUIEȘTE,A C O S Ă F P U I Â G L Ș
52,7,CINTEZII,A C N Z L Ț T
53,16,FOLFĂIESC,B D G M E R L V T C N S U A F Ă
54,7,OTORINOLARINGOLOGELOR,O T R N A G E
55,6,ESTETIZANTEI,N T R S I Z
56,12,BALAOACHEȘĂ,A I C T L S E H V U O Ș
57,8,NOTĂRIȚĂ,B C T R I Ț M N
58,10,DULEȚI,A I E T V O U M N Ț
59,9,RICKETTSIOZEI,A M R I C K T O Z
60,3,CIREȘE,I R E
61,7,ZGĂRDAT,B R Z E G A T
62,9,PREȚIOASELOR,A B R I P E D Ț S
63,12,DIMPREJUR,A E C S I G P O L M J U
64,6,BULBUCAT,A P B E U C
65,15,ARIERDUNĂ,A C I S T B O E G H L K R U Ă
66,19,FLACIDEI,A B S R H U O L G N Ă P V T Z D E M F
67,12,CONVENȚIONALI,A D P S O C I N Ă M V E
68,14,CUCONIȚĂ,A C T L M P U R B Â G I N O
69,7,NELINIȘTITORULUI,E L I T O R U
70,10,BIHINDISIRILE,A C I L O H N D S E
71,14,ÎMPLINIREA,A C S O I R F K E T Î M B P
72,9,INSTIGÂND,N P R T C U Â D G
73,11,RECENTE,A E M H K L O U Z N T
74,6,EMBLEMĂ,C U G M B L
75,7,SINGURAȘUL,S I N U R A L
76,8,SUBSECRETARULUI,S U B C R A I L
77,10,DEVITALIZASERĂM,D V I T A L Z S R M
78,19,SUBAPRECIEZ,A D E O N T B L U S C V Î X Ă M G P Z
79,5,CLASATULUI,A S T U I
80,14,FARAONICUL,A G B E U O I L J P S C T F
81,6,ÎNROLĂRILOR,A Î N L Ă I
82,14,PRIMEZIU,A G H B C E T I O P S M F Z
83,6,CRUCIATULUI,I R U L Ț T
84,17,PRODIGATELE,I N E R U M B C S T F G Ă L A V D
85,16,VINA,B U C D F J L M Â O R P S T V I
86,5,CIFRARĂM,C I A Ă M
87,12,ÎNFRUNTASEM,C G H N E T A I Î F R U
88,4,VIOȘELI,V I E L
89,14,AMUȘISERĂȚI,A B C M I L D P E N U Ș S R
90,10,TELEGRAFIARĂ,C M P T L G A F I Ă
91,10,CITRONADELE,M B C I T R O N E L
92,10,BASCHETBALIȘTILOR,B A C H E T L I Ș O
93,11,SEPTICUL,A S E R M H I C U O T
94,2,VENENO,V E
95,13,GUDRONĂM,A C N S E P R D Â Î G U M
96,10,CORDENCIULUI,A D I E T U M O N L
97,17,STROPȘIRE,A B I L Ă D F G N M E R O C P U Ș
98,7,FOILETONIST,A O L E T N S
99,13,PLICISERĂ,A F M N P U C E T R I D L
100,3,ACHITAT,C H I
Total pași efectuați: 1083
Media pașilor efecțuati: 10.83
