etichetă_joc,total_încercări,cuvânt_găsit,secvență_încercări
0,13,VARI,C S D F G L M Ă N T R Z I
1,11,TOXOPLASME,C D L R T P A S M Ă E
2,16,VARIOMETRU,A C Ț G R T M E H D N U S L P V
3,13,RODINE,A B C R D L P Â U Z O T N
4,14,SARCOMUL,B C R M D L I F P Â N H S O
5,16,FILDEÂUL,A N P R T Z M B C I Â L O U Ț D
6,8,REJECȚIE,A D E L C P J I
7,5,NETEMPERAT,N M P R A
8,3,BURDUÂ,B R D
9,15,VANDABILĂ,B L C D R M E S P Ț Â N U I V
10,9,ÎNTREOLALTĂ,C Z Î N T E O A Ă
11,11,ÎNÂFACI,M B N F R D I Z S Â C
12,9,SCANDINAV,L B C V D R N T S
13,1,PAG,A
14,5,LACVEAR,A B C V E
15,14,DEZLOCUIT,A F M B R E T Ă C U P L Z O
16,5,ALELOGAMIE,L E O M I
17,16,HÂRLOSTEA,A B D N G C L P F I H E Ă Â R T
18,7,LAMPIÂTI,A I S Â T N P
19,11,MÂGLISI,B R C A I G M T V D S
20,5,PRĂÂTIAÂI,P R Ă T A
21,14,GALVANOSTEGIC,A B L U C V E R M D G O S T
22,8,DEZASIMILEAZĂ,D E G S I M L Ă
23,3,GLIEI,A L I
24,8,STEREOCARTOGRAFII,S E R O C A F I
25,3,ISPISOC,I P C
26,13,JETOANE,C I D E R L N G B T Ă F J
27,8,CONFECȚIONĂRI,C O E P F Ț R Ă
28,10,LĂUDĂROÂIEI,C L T U D A R Â I E
29,15,DUHOVNICEÂTI,A D F R B Ă E T Ț U H O V N Â
30,7,IMPUDICĂ,A M N P D C Ă
31,13,PATENTARE,C T I L O N Â J R Z D S E
32,12,EPIGLOTIC,A D N S T L C F P R G E
33,14,PREÎNCĂLZITOARE,D R P T U C O M Ă N I Î L Z
34,10,SCURTIMEA,A R O C F M P T I E
35,7,SFERDECEII,A U S E R C I
36,5,MUTITATE,C M I E U
37,15,VERMIFORMI,A N S B Â C P E R T J M U V F
38,15,CHIRURGUL,A D N M I U Z E H O S R T B G
39,13,MEZOBLAST,A G I O C E N S F Â B L T
40,14,STALINISTUL,F M P B R C L T Ă G N Z S U
41,5,BOBOTĂI,A L O T I
42,10,TURCIRI,B C E Â D M N S T U
43,6,FRAZA,B T G S Z F
44,7,NEMATHELMINTES,N M A T H L I
45,7,FOLIACEE,C A N I T F O
46,6,ONICHII,A M N E H O
47,10,ALARMEZ,A B C O D F G L R M
48,1,AXĂ,A
49,7,FĂLTICINEANCĂ,F Ă L T N E A
50,4,BRÂNEȚE,B R N Ț
51,8,SPRIJINITORILOR,P A S I J N O L
52,13,RESPIROMETRU,A L N R G C I M E O D S P
53,15,GARMOND,B S E C D I L U Z R T Ă O N G
54,11,ESTROGEN,C D L N G B Â U S T R
55,14,COSMOBOTANICĂ,C E F M P B I H N D T R O S
56,18,BUNĂTATEA,A D T R B O L I C Â P F H J N S M Ă
57,11,MAGNETOHIDRODINAMICĂ,M A N E O H I D R C Ă
58,17,GENERALIZARE,A D B O C E T P R Z F G Â M S U L
59,8,DISCOPATIILE,D C O P A T L E
60,10,ÎMPĂCĂRILOR,B O N Î M I T P R L
61,6,REINTEGRATOARE,R E I N G O
62,11,ÎNFUNDĂTOARE,I T V Î U D Ă O R A E
63,5,AMPERORMETRE,A M P O T
64,11,SINCERAMENTE,B L O N E C R S U A M
65,15,UÂUIASCĂ,A L R T H Â N B U M D E G Ă S
66,6,MAZDRAC,B H M Z D R
67,8,CULISOARE,A C E R I N U L
68,15,MÂNCĂRIME,A F E R S N O B L Ă T D U Â M
69,5,INDI-CARE,I N D A E
70,6,SEMEN,C D G L M N
71,18,CUNUNA,G B Â C T D R H J M P S Z Ț L F I N
72,16,PLOTURI,A R M B O E Z P U C Ă G F S D T
73,15,FABULARE,C Â H R Ț L N M S I T Ă B F E
74,3,ACIDIFIC,A C D
75,18,OBSESIVI,A L M N G P R S Ț B F C D U O Z T V
76,22,ÎNGURGITA,A B S C N T E L O Ă D V M X F H U P G Â Z Î
77,10,CRIOPLANAȚIE,B I E F C O P L N Ț
78,10,CONTRASEMNĂTURI,C O N T A S M I Ă U
79,9,PARODIE,A C I E M P S F O
80,17,DATELE,B G L R V C I N P T M S O Â F Z D
81,5,CALAPOADE,C L O D E
82,12,FLOCOÂEI,A C T Ț P R F N Â E S I
83,11,BINARI,C Ă I E U G N T V Z R
84,20,PERDANTĂ,A C T Â N G D O I L U R M X S Ț F Z V Ă
85,17,CENACLIST,B C V N E T Z L R F Ț Ă P O H G S
86,6,DIFEREN-ȚIA,D I R N Ț A
87,9,ZEROVALENTĂ,A V I E R O L N Ă
88,16,FULMINAȚIA,A B S O C R M G D T E F Ă U Ț L
89,7,EXISTENȚIALISTE,E X S N Ț A L
90,3,IBĂNCĂ,I B C
91,4,SIMIGII,L S Z M
92,6,ÂCHIOP,H E O A I P
93,11,CAPILARĂ,A B Ț C H D E L T Ă P
94,5,EPICRANIENE,I C R A N
95,12,HRĂNINDU-L,A P R Ă T I O Â H N U L
96,9,CIRCUMSOLAR,A E C I R U P S O
97,5,AMBARASEZ,M B R E Z
98,9,FUMIZARE,A E L I U G Ă R Z
99,13,SCOTOFOBIE,C H R N E T L G P A S F B
100,7,COMISIILE,A O L E M Ț S
101,13,EMPIRIE,A B E T N I G Z S U Î F P
102,10,ORFELINATULUI,B C O R F E I N T U
103,13,TURLUBAN,C H L G N I E S O R P U B
